Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,120.959999,121.930000,120.820000,121.730003,117.530670,3507500
2019-01-16,121.580002,122.000000,120.830002,121.620003,117.424461,3841100
2019-01-17,120.559998,122.410004,120.550003,122.190002,117.974800,5029900
2019-01-18,123.269997,124.720001,122.709999,123.820000,119.548561,6008500
2019-01-22,123.300003,123.800003,121.540001,122.519997,118.293404,10052400
2019-01-23,131.369995,135.000000,130.309998,132.889999,128.305664,22063700
2019-01-24,132.630005,133.210007,131.429993,132.529999,127.958092,6322900
2019-01-25,132.869995,134.440002,132.429993,133.970001,129.348419,5707400
2019-01-28,133.100006,134.809998,132.580002,134.270004,129.638077,5357700
2019-01-29,134.289993,135.410004,133.600006,134.330002,129.695984,5037100
2019-01-30,134.000000,135.029999,133.250000,134.380005,129.744263,4500900
2019-01-31,134.449997,134.720001,133.740005,134.419998,129.782883,4884000
2019-02-01,134.970001,135.199997,133.350006,134.100006,129.473938,3806000
2019-02-04,134.020004,135.199997,132.990005,135.190002,130.526321,3966600
2019-02-05,135.279999,135.820007,134.919998,135.550003,130.873917,5398900
2019-02-06,135.220001,136.649994,135.169998,136.320007,131.617355,4879700
2019-02-07,133.550003,134.470001,132.119995,133.190002,130.093613,4379400
2019-02-08,132.339996,133.710007,132.190002,133.710007,130.601532,3249800
2019-02-11,134.289993,135.149994,133.910004,133.990005,130.875031,3095100
2019-02-12,135.149994,136.199997,134.860001,136.050003,132.887131,3317200
2019-02-13,136.919998,137.919998,136.410004,137.520004,134.322952,4253000
2019-02-14,137.169998,137.600006,136.210007,136.479996,133.307129,2789400
2019-02-15,137.580002,138.190002,137.389999,138.029999,134.821106,3844100
2019-02-19,137.809998,138.699997,137.360001,138.699997,135.475510,3385700
2019-02-20,138.759995,139.240005,137.220001,138.000000,134.791794,3802000
2019-02-21,137.820007,138.350006,137.350006,137.839996,134.635513,2937300
2019-02-22,138.729996,139.380005,138.429993,139.250000,136.012741,3113700
2019-02-25,140.000000,140.470001,139.320007,139.460007,136.217850,3194200
2019-02-26,139.669998,140.490005,139.470001,139.720001,136.471802,3060400
2019-02-27,139.250000,139.570007,138.399994,139.169998,135.934601,2530900
2019-02-28,138.770004,139.059998,137.720001,138.130005,134.918777,3457800
2019-03-01,139.309998,140.039993,138.639999,139.199997,135.963882,3030000
2019-03-04,139.990005,140.080002,137.169998,138.429993,135.211792,3406900
2019-03-05,138.369995,138.740005,137.559998,137.880005,134.674591,4250300
2019-03-06,138.119995,138.389999,136.720001,136.979996,133.795502,2768300
2019-03-07,136.610001,136.889999,134.630005,135.360001,132.213181,4358800
2019-03-08,134.210007,135.240005,133.580002,135.089996,131.949432,3773600
2019-03-11,136.029999,137.729996,135.839996,137.710007,134.508545,3939300
2019-03-12,138.520004,139.699997,137.860001,138.279999,135.065277,3954700
