Adj Close,Volume,HL_PCT,PCT_change,target
93.10236359,6868600,1.590997008,-0.646659088,93.58112335
93.15470886,9494800,2.794728414,2.510904249,92.37667847
92.18964386,9083200,2.385784599,-1.329166499,91.69590759
94.55366516,7725900,1.281749153,1.071568417,91.16474152
93.70830536,7421900,1.588693781,-0.55572956,92.36170197
93.02003479,7135400,2.155380717,-0.280701016,95.01004028
95.3167572,7705300,2.472334538,2.050464733,95.73568726
95.72821045,6645300,1.375431501,0.164382845,95.72821045
93.72328949,9669200,1.939655435,-0.862549611,96.25937653
92.86292267,6951400,1.393702888,-1.146772673,97.61343384
92.55621338,8399200,1.32557337,-0.4345734,97.79297638
92.69088745,7795500,1.824047199,-0.745013452,97.79297638
95.51873779,7479700,1.89536197,1.34137826,95.78057098
96.09480286,5820200,1.837291293,1.357211036,97.09725189
96.13218689,6753000,1.151747648,0,94.67338562
